Fecha,HR_stable,RRbar_s,RMSSD_stable,lnRMSSD,cRMSSD,beta_mode,beta_est_90d,beta_use_90d,R2_winsor_90d,Color_Agudo_Diario,Color_Tendencia,Color_Tiebreak
2025-09-20,60.15999205316927,0.9973405572755416,36.18366708855192,3.588607831617849,65.36048089111185,frozen,3.2523579703928656,3.0,0.6217597638771787,Rojo,Verde,Rojo
2025-09-21,53.838786106770186,1.1144382022471908,43.01819349707066,3.761623130793097,55.69513949724025,frozen,3.246349949200778,3.0,0.626513857646555,Verde,Verde,Verde
2025-09-24,55.04715333566188,1.0899746192893405,34.99220029710412,3.555125188000795,48.54972663460536,frozen,3.2337287055339705,3.0,0.6248727765081796,Ámbar,Verde,Verde
2025-09-26,51.1920853584884,1.1720561797752809,66.95639693792587,4.204041615562694,74.5212083839521,frozen,3.2376048089246474,3.0,0.6373015030852509,Verde,Verde,Verde
2025-09-27,46.41732104302451,1.2926209150326795,60.76085564693248,4.106945760033493,50.41310482358064,frozen,3.2011929088426245,3.0,0.5996996520570455,Verde,Verde,Verde
2025-09-29,44.795897227423225,1.339408376963351,66.2747868229016,4.193809535616187,49.75728330742522,frozen,3.2330675451781565,3.0,0.6094500142094585,Verde,Verde,Verde
2025-09-30,45.57825163740766,1.3164173228346456,64.45383186970149,4.1659491825394905,50.970081657718914,frozen,3.275065081858362,3.0,0.6144388355750113,Verde,Verde,Verde
2025-10-01,47.93210927473218,1.2517704918032788,57.88811046608219,4.058512017483628,53.24300983466297,frozen,3.27506508185836,3.0,0.6144388355750114,Verde,Verde,Verde
2025-10-02,50.46630712018848,1.188912037037037,42.18282467633502,3.742013140004609,45.28285901061367,frozen,3.286185292124327,3.0,0.6165343825075305,Verde,Ámbar,Verde
2025-10-03,46.65725336116399,1.285973684210526,61.37152088842952,4.116945898372397,51.8483971138477,frozen,3.28935188417029,3.0,0.6150072472938684,Verde,Verde,Verde
2025-10-05,55.30005399668571,1.0849898989898992,33.985290935932845,3.5259278114779464,47.930196641917824,frozen,3.2319387947761204,3.0,0.6169850840210052,Ámbar,Verde,Verde
2025-10-06,49.41354388309564,1.2142419928825623,54.23345699052253,3.993298005649966,54.28560021522184,frozen,3.388751982727672,3.0,0.6244361308396499,Verde,Verde,Verde
2025-10-07,47.53353755149467,1.2622666666666666,57.65162649201427,4.054418459535024,51.31850167124943,clipped,3.303990529879953,3.0,0.6001908354763685,Verde,Verde,Verde
2025-10-08,49.76090063701013,1.2057659574468085,60.3861975714886,4.10076056179844,61.7279322581034,frozen,3.372845497417241,3.0,0.6200060569460303,Verde,Verde,Verde
2025-10-09,48.576995910750064,1.2351525423728813,61.27531174777681,4.11537701708425,58.21561427381135,frozen,3.37826060408839,3.0,0.6106363595374289,Verde,Verde,Verde
2025-10-10,47.99360085321957,1.2501666666666666,46.292835471264674,3.8349872076771288,42.41561633400252,frozen,3.4076230954561324,3.0,0.607917935312069,Verde,Rojo,Ámbar
2025-10-11,50.457088591663705,1.1891292517006804,43.12454089491577,3.764092229379859,45.9589816678917,frozen,3.3656700739082286,3.0,0.5970940832528859,Ámbar,Ámbar,Verde
2025-10-12,47.12931714624339,1.2730929203539822,63.16373783887223,4.145730368112474,54.80286433899491,frozen,3.495406804469192,3.0,0.6230922031057273,Verde,Verde,Verde
2025-10-13,49.74235461438955,1.206215517241379,48.86609921176349,3.8890838884065846,49.89603543278089,frozen,3.619206193755143,3.0,0.6319894954540266,Verde,Verde,Verde
2025-10-14,47.74876158222989,1.2565770925110131,58.81348951280282,4.074371242076373,53.395522011705374,clipped,3.482749148435006,3.0,0.5993997594087411,Verde,Verde,Verde
2025-10-15,42.141436064387776,1.4237768240343347,90.55970596698948,4.506009367618655,56.52031187413428,frozen,3.472958206621381,3.0,0.6183358378502667,Verde,Verde,Verde
2025-10-16,50.10805859709409,1.1974121863799283,47.26132767416909,3.855692364342771,49.58727012228458,frozen,3.4942534992846137,3.0,0.6233296065207791,Verde,Ámbar,Verde
2025-10-17,47.94948115042567,1.2513169811320757,51.37941900186977,3.939237683752287,47.23701848568298,frozen,3.493013239118466,3.0,0.6247991680469265,Verde,Ámbar,Ámbar
2025-10-18,50.33450592523141,1.1920252100840336,41.28576955722748,3.720517877812597,43.907566397156046,frozen,3.466484562482447,3.0,0.623481754606013,Ámbar,Rojo,Ámbar
2025-10-19,51.72961444799056,1.159877192982456,36.56419205787365,3.599069402427204,41.99069427065054,frozen,3.4571582951322983,3.0,0.6235300820177683,Rojo,Rojo,Rojo
2025-10-20,50.49058225309748,1.1883404255319148,45.60124241299288,3.819934962048144,48.67192244086508,frozen,3.537767050092384,3.0,0.6275452259719475,Ámbar,Ámbar,Verde
2025-10-21,46.62754240694589,1.286793103448276,58.02466187870995,4.060868124977818,48.776528065239376,frozen,3.633934674526635,3.0,0.6474841867126292,Verde,Verde,Verde
2025-10-22,46.76466461941356,1.2830200000000005,51.75614448992807,3.9465431592020326,44.02773367454025,frozen,3.6783635514439377,3.0,0.6319498600725653,Verde,Rojo,Ámbar
2025-10-23,47.95932472309199,1.25106015037594,56.674209634858165,4.0373192507270215,52.0014666558031,frozen,3.625627842846637,3.0,0.6246819859436172,Verde,Verde,Verde
2025-10-24,52.43519693596068,1.144269565217391,41.79838278562284,3.732857649443092,50.12323940483472,frozen,3.626051191712727,3.0,0.6246985803083551,Ámbar,Verde,Verde
2025-10-25,50.8104824234391,1.1808586956521738,35.28486896705129,3.5634542308863484,38.38125331626229,frozen,3.599411788867054,3.0,0.628433968879712,Rojo,Rojo,Rojo
2025-10-26,49.47735723720881,1.212675925925926,45.32102546100661,3.813771063022232,45.45037778206756,frozen,3.68458636875492,3.0,0.6327724688807743,Verde,Ámbar,Verde
2025-10-27,51.27092636881204,1.17025386996904,36.70877499305424,3.6030158271087056,40.92209065763031,frozen,3.682737358628562,3.0,0.6316036194612973,Ámbar,Rojo,Ámbar
2025-10-28,49.07376323740348,1.2226492537313434,37.32181135738531,3.619577910636937,36.48255377425319,frozen,3.753427960990821,3.0,0.6391253840164184,Ámbar,Rojo,Rojo
2025-10-29,52.14648225839333,1.1506049382716048,38.23708932437195,3.643805969291774,44.93884120491242,frozen,3.843322633044159,3.0,0.6312374145356058,Verde,Ámbar,Verde
2025-10-30,48.809078690744464,1.22927950310559,39.5916657896583,3.6786186362535376,38.15641807760609,frozen,3.860152889465065,3.0,0.6386982171693658,Verde,Rojo,Rojo
2025-10-31,46.44580470255247,1.291828193832599,48.175977195704725,3.874860498385412,40.00663291948762,frozen,3.7721345707585527,3.0,0.6261988983402063,Verde,Rojo,Ámbar
2025-11-01,53.69719928648927,1.1173767123287672,37.78288490510718,3.6318562198014255,48.48551497136159,frozen,3.648503463727219,3.0,0.6106919450052313,Verde,Verde,Verde
2025-11-02,53.5931032336373,1.119547038327526,41.12487379622269,3.716613140295969,52.46785224097064,frozen,3.5153823329830924,3.0,0.6207800562199821,Verde,Verde,Verde
2025-11-03,51.48801531797644,1.1653197278911565,42.692914300933495,3.7540329650346473,48.20018271323383,frozen,3.3853626387566345,3.0,0.6317706108951353,Verde,Verde,Verde
